Geography Code,LGD2014_nm,Area_ha,Perim_km,Geography,All usual residents,"Area (hectares)
[note 1, 2]",Population density (number of usual residents per hectare)
N20000548,"Armagh City, Banbridge and Craigavon",8.17,1.24,Lurgan_T3,488,8.17,59.71077948472896
N20000549,"Armagh City, Banbridge and Craigavon",37.51,2.96,Lurgan_S5,638,37.51,17.006637893100688
N20000550,"Armagh City, Banbridge and Craigavon",21.71,2.58,Lurgan_T4,498,21.71,22.936784532566307
N20000551,"Armagh City, Banbridge and Craigavon",620.29,17.88,Lagan_River_C1,624,620.29,1.005976236654332
N20000552,"Armagh City, Banbridge and Craigavon",18.88,1.91,Lagan_River_A1,624,18.88,33.04846678156488
N20000553,"Armagh City, Banbridge and Craigavon",239.55,7.64,Lagan_River_G1,711,239.55,2.9680712965261016
N20000554,"Armagh City, Banbridge and Craigavon",13.36,1.84,Lagan_River_A2,477,13.36,35.70852191850713
N20000555,"Armagh City, Banbridge and Craigavon",17.38,2.68,Lagan_River_A3,513,17.38,29.525159197509904
N20000556,"Armagh City, Banbridge and Craigavon",8.39,1.31,Lagan_River_A4,321,8.39,38.273485790231845
N20000557,"Armagh City, Banbridge and Craigavon",15.34,2.11,Lagan_River_B1,440,15.34,28.67916940161622
N20000558,"Armagh City, Banbridge and Craigavon",35.31,3.89,Lagan_River_B2,715,35.31,20.252050820644953
N20000559,"Armagh City, Banbridge and Craigavon",702.17,13.91,Lagan_River_C2,462,702.17,0.6579590160956202
N20000560,"Armagh City, Banbridge and Craigavon",593.58,11.77,Lagan_River_J1,322,593.58,0.5424749081065597
N20000561,"Armagh City, Banbridge and Craigavon",24.67,2.6,Lagan_River_B3,776,24.67,31.449991994461886
N20000562,"Armagh City, Banbridge and Craigavon",815.37,16.11,Lagan_River_C3,435,815.37,0.5334996077880116
N20000563,"Armagh City, Banbridge and Craigavon",1143.07,22.85,Lagan_River_K1,701,1143.07,0.6132609735626204
N20000564,"Armagh City, Banbridge and Craigavon",19.96,2.66,Lagan_River_E1,560,19.96,28.061675704577944
N20000565,"Armagh City, Banbridge and Craigavon",18.06,1.8,Lagan_River_D1,572,18.06,31.674967603110463
N20000566,"Armagh City, Banbridge and Craigavon",13.82,1.67,Lagan_River_F1,498,13.82,36.02554757644088
N20000567,"Armagh City, Banbridge and Craigavon",15.59,1.62,Lagan_River_E2,684,15.59,43.88834329362274
N20000568,"Armagh City, Banbridge and Craigavon",23.26,2.94,Lagan_River_D2,535,23.26,23.00372407006476
N20000569,"Armagh City, Banbridge and Craigavon",884.63,22.12,Lagan_River_G2,684,884.63,0.7732017218413005
N20000570,"Armagh City, Banbridge and Craigavon",11.13,1.65,Lagan_River_F2,434,11.13,38.9975499743402
N20000571,"Armagh City, Banbridge and Craigavon",23.44,2.26,Lagan_River_D3,620,23.44,26.453594191901164
N20000572,"Armagh City, Banbridge and Craigavon",31.98,3.55,Lagan_River_E3,733,31.98,22.917329817598567
N20000573,"Armagh City, Banbridge and Craigavon",37.21,3.47,Lagan_River_F3,727,37.21,19.539584845814222
N20000574,"Armagh City, Banbridge and Craigavon",15.05,1.97,Lagan_River_F4,726,15.05,48.24487773835827
N20000575,"Armagh City, Banbridge and Craigavon",15.87,2.65,Lagan_River_F5,594,15.87,37.42627344475711
N20000576,"Armagh City, Banbridge and Craigavon",11.07,1.55,Lagan_River_H1,597,11.07,53.91414880126943
N20000577,"Armagh City, Banbridge and Craigavon",11.95,1.67,Lagan_River_H2,488,11.95,40.84013134548312
N20000578,"Armagh City, Banbridge and Craigavon",58.66,4.12,Lagan_River_H3,603,58.66,10.279850266375076
N20000579,"Armagh City, Banbridge and Craigavon",1019.45,15.01,Lagan_River_J2,608,1019.45,0.5964005062453144
N20000580,"Armagh City, Banbridge and Craigavon",1423.45,20.64,Lagan_River_G3,796,1423.45,0.5592045494373361
N20000581,"Armagh City, Banbridge and Craigavon",13.57,2.03,Lagan_River_G4,421,13.57,31.021873392010505
N20000582,"Armagh City, Banbridge and Craigavon",1076.52,20.14,Lagan_River_K2,650,1076.52,0.6037956946604986
N20000583,"Armagh City, Banbridge and Craigavon",1001.45,18.64,Lagan_River_K3,517,1001.45,0.5162532365997142
N20000584,"Armagh City, Banbridge and Craigavon",54.47,3.84,Lagan_River_L1,684,54.47,12.557468305856148
N20000585,"Armagh City, Banbridge and Craigavon",955.16,15.98,Lagan_River_J3,479,955.16,0.5014867037966193
N20000586,"Armagh City, Banbridge and Craigavon",957.63,17.16,Lagan_River_J4,546,957.63,0.5701604924978777
N20000587,"Armagh City, Banbridge and Craigavon",533.06,14.07,Lagan_River_L2,746,533.06,1.3994663884724508
N20000588,"Armagh City, Banbridge and Craigavon",1261.02,18.57,Lagan_River_K4,556,1261.02,0.4409146581494347
N20000589,"Armagh City, Banbridge and Craigavon",494.9,8.95,Lagan_River_N1,457,494.9,0.9234097744122299
N20000590,"Armagh City, Banbridge and Craigavon",952.84,16.14,Lagan_River_N2,454,952.84,0.4764717939376022
N20000591,"Armagh City, Banbridge and Craigavon",1020.61,15.42,Lagan_River_N3,451,1020.61,0.4418944622328227
N20000592,"Armagh City, Banbridge and Craigavon",1460.42,24.42,Lagan_River_N4,654,1460.42,0.4478169151483527
N20000593,"Armagh City, Banbridge and Craigavon",1035.07,15.95,Lagan_River_N5,609,1035.07,0.588364226911091
N20000594,"Armagh City, Banbridge and Craigavon",345.86,13.04,Banbridge_A1,410,345.86,1.1854346745062816
N20000595,"Armagh City, Banbridge and Craigavon",1240.72,27.37,Banbridge_A2,614,1240.72,0.49487347658515307
N20000596,"Armagh City, Banbridge and Craigavon",16.66,2.0,Banbridge_A3,454,16.66,27.24675544910682
N20000597,"Armagh City, Banbridge and Craigavon",15.57,1.71,Banbridge_A4,336,15.57,21.582245473749325
N20000598,"Armagh City, Banbridge and Craigavon",40.3,3.87,Banbridge_B1,496,40.3,12.308342603977769
N20000599,"Armagh City, Banbridge and Craigavon",154.79,6.67,Banbridge_A5,491,154.79,3.1721216705781323
N20000600,"Armagh City, Banbridge and Craigavon",17.38,2.13,Banbridge_B2,542,17.38,31.177621711868188
N20000601,"Armagh City, Banbridge and Craigavon",24.55,2.94,Banbridge_B3,446,24.55,18.168344764870742
N20000602,"Armagh City, Banbridge and Craigavon",16.83,2.3,Banbridge_B4,473,16.83,28.10103910378933
N20000603,"Armagh City, Banbridge and Craigavon",16.62,2.68,Banbridge_D1,605,16.62,36.412609236022654
N20000604,"Armagh City, Banbridge and Craigavon",18.73,2.14,Banbridge_C1,301,18.73,16.066223789766898
N20000605,"Armagh City, Banbridge and Craigavon",746.44,13.18,Banbridge_F1,391,746.44,0.5238197794410593
N20000606,"Armagh City, Banbridge and Craigavon",683.94,14.12,Banbridge_F2,400,683.94,0.5848455682634196
N20000607,"Armagh City, Banbridge and Craigavon",30.04,3.28,Banbridge_D2,305,30.04,10.151570773179216
N20000608,"Armagh City, Banbridge and Craigavon",20.68,2.45,Banbridge_C2,449,20.68,21.71009647100847
N20000609,"Armagh City, Banbridge and Craigavon",21.15,2.04,Banbridge_C3,632,21.15,29.88023049902387
N20000610,"Armagh City, Banbridge and Craigavon",38.26,3.24,Banbridge_C4,543,38.26,14.191848570422245
N20000611,"Armagh City, Banbridge and Craigavon",11.9,1.6,Banbridge_D3,411,11.9,34.53240805842755
N20000612,"Armagh City, Banbridge and Craigavon",9.14,1.34,Banbridge_E1,456,9.14,49.86523588114982
N20000613,"Armagh City, Banbridge and Craigavon",9.35,1.35,Banbridge_E2,328,9.35,35.06549660541658
N20000614,"Armagh City, Banbridge and Craigavon",1983.86,32.82,Banbridge_L1,782,1983.86,0.3941815781868411
N20000615,"Armagh City, Banbridge and Craigavon",14.86,2.22,Banbridge_D4,412,14.86,27.730984891732312
N20000616,"Armagh City, Banbridge and Craigavon",9.53,1.57,Banbridge_D5,343,9.53,36.00931810865453
N20000617,"Armagh City, Banbridge and Craigavon",5.98,1.07,Banbridge_E3,330,5.98,55.139540585871416
N20000618,"Armagh City, Banbridge and Craigavon",13.04,1.87,Banbridge_E4,420,13.04,32.205395861455216
N20000619,"Armagh City, Banbridge and Craigavon",4.65,0.9,Banbridge_D6,390,4.65,83.79756490813877
N20000620,"Armagh City, Banbridge and Craigavon",41.26,3.35,Banbridge_E5,613,41.26,14.85825373007918
N20000621,"Armagh City, Banbridge and Craigavon",29.34,2.79,Banbridge_H1,801,29.34,27.30219538929722
N20000622,"Armagh City, Banbridge and Craigavon",8.76,1.44,Banbridge_D7,460,8.76,52.53451067953167
N20000623,"Armagh City, Banbridge and Craigavon",17.21,1.81,Banbridge_J1,530,17.21,30.79572839207243
N20000624,"Armagh City, Banbridge and Craigavon",19.08,2.41,Banbridge_G1,298,19.08,15.614620295942759
N20000625,"Armagh City, Banbridge and Craigavon",8.55,1.22,Banbridge_H2,529,8.55,61.87966055264023
N20000626,"Armagh City, Banbridge and Craigavon",18.54,2.23,Banbridge_J2,464,18.54,25.03165583740867
N20000627,"Armagh City, Banbridge and Craigavon",19.63,2.22,Banbridge_H3,526,19.63,26.789682101974336
N20000628,"Armagh City, Banbridge and Craigavon",15.84,2.2,Banbridge_J3,465,15.84,29.365166475560144
N20000629,"Armagh City, Banbridge and Craigavon",830.06,14.96,Banbridge_F3,474,830.06,0.5710451442450172
N20000630,"Armagh City, Banbridge and Craigavon",17.13,2.29,Banbridge_G2,402,17.13,23.469251351885863
N20000631,"Armagh City, Banbridge and Craigavon",7.52,1.26,Banbridge_E6,377,7.52,50.139345102741
N20000632,"Armagh City, Banbridge and Craigavon",11.64,1.45,Banbridge_G3,430,11.64,36.94654492807058
N20000633,"Armagh City, Banbridge and Craigavon",20.67,2.57,Banbridge_J4,406,20.67,19.643646761038475
N20000634,"Armagh City, Banbridge and Craigavon",6.24,1.03,Banbridge_G4,395,6.24,63.310937149795905
N20000635,"Armagh City, Banbridge and Craigavon",56.65,3.97,Banbridge_J5,646,56.65,11.404352763035858
N20000636,"Armagh City, Banbridge and Craigavon",13.64,2.44,Banbridge_H4,570,13.64,41.79530146343469
N20000637,"Armagh City, Banbridge and Craigavon",31.23,2.61,Banbridge_K1,574,31.23,18.38080464999962
N20000638,"Armagh City, Banbridge and Craigavon",18.02,1.85,Banbridge_K2,481,18.02,26.68655832879996
N20000639,"Armagh City, Banbridge and Craigavon",12.42,1.69,Banbridge_H5,530,12.42,42.67971690376731
N20000640,"Armagh City, Banbridge and Craigavon",40.05,3.54,Banbridge_K3,723,40.05,18.051594248787367
N20000641,"Armagh City, Banbridge and Craigavon",135.71,7.49,Banbridge_K4,730,135.71,5.379237528088913
N20000642,"Armagh City, Banbridge and Craigavon",841.08,13.57,Banbridge_F4,420,841.08,0.49935652755313015
N20000643,"Armagh City, Banbridge and Craigavon",17.48,2.23,Banbridge_K5,526,17.48,30.08556483671783
N20000644,"Armagh City, Banbridge and Craigavon",21.98,2.44,Banbridge_F5,389,21.98,17.701316406082977
N20000645,"Armagh City, Banbridge and Craigavon",1595.59,18.84,Banbridge_L2,657,1595.59,0.41176071031716116
N20000646,"Armagh City, Banbridge and Craigavon",22.0,2.47,Banbridge_N1,557,22.0,25.31365954395025
N20000647,"Armagh City, Banbridge and Craigavon",472.26,13.72,Banbridge_N2,523,472.26,1.1074313684732644
N20000648,"Armagh City, Banbridge and Craigavon",2062.79,21.88,Banbridge_L3,605,2062.79,0.29329223155193407
N20000649,"Armagh City, Banbridge and Craigavon",1205.05,18.61,Banbridge_N3,777,1205.05,0.6447875101249352
N20000650,"Armagh City, Banbridge and Craigavon",505.06,15.14,Banbridge_P1,391,505.06,0.7741650072569514
N20000651,"Armagh City, Banbridge and Craigavon",1229.06,19.7,Banbridge_P2,762,1229.06,0.6199869455560558
N20000652,"Armagh City, Banbridge and Craigavon",1571.75,21.34,Banbridge_N4,580,1571.75,0.3690150527816259
N20000653,"Armagh City, Banbridge and Craigavon",1656.53,23.8,Banbridge_L4,688,1656.53,0.4153262963211225
N20000654,"Armagh City, Banbridge and Craigavon",433.76,9.81,Banbridge_N5,481,433.76,1.1089154411075859
N20000655,"Armagh City, Banbridge and Craigavon",1012.82,19.62,Banbridge_P3,436,1012.82,0.43048130372277327
N20000656,"Armagh City, Banbridge and Craigavon",1046.99,22.43,Banbridge_P4,302,1046.99,0.2884453636634471
N20000657,"Armagh City, Banbridge and Craigavon",1488.09,22.83,Banbridge_L5,668,1488.09,0.44889652886169384
N20000658,"Armagh City, Banbridge and Craigavon",954.07,18.85,Banbridge_P5,505,954.07,0.5293134945270447
N20000659,"Armagh City, Banbridge and Craigavon",10.1,1.66,Banbridge_Q1,418,10.1,41.40290264258249
N20000660,"Armagh City, Banbridge and Craigavon",25.6,2.92,Banbridge_Q2,580,25.6,22.653423371225802
N20000661,"Armagh City, Banbridge and Craigavon",22.11,3.16,Banbridge_Q3,564,22.11,25.51315781956588
N20000662,"Armagh City, Banbridge and Craigavon",19.37,2.68,Banbridge_Q4,462,19.37,23.84579335892117
N20000663,"Armagh City, Banbridge and Craigavon",9.35,1.35,Banbridge_Q5,468,9.35,50.06041389371988
N20000664,"Armagh City, Banbridge and Craigavon",351.94,9.04,Cusher_E1,611,351.94,1.7360893858192803
N20000665,"Armagh City, Banbridge and Craigavon",861.03,16.4,Cusher_E2,489,861.03,0.5679219873563208
N20000666,"Armagh City, Banbridge and Craigavon",16.29,2.52,Cusher_B1,432,16.29,26.525067579777257
N20000667,"Armagh City, Banbridge and Craigavon",45.35,4.17,Cusher_A1,348,45.35,7.673705222729672
N20000668,"Armagh City, Banbridge and Craigavon",6.92,1.48,Cusher_B2,224,6.92,32.372430785045516
N20000669,"Armagh City, Banbridge and Craigavon",31.08,2.89,Cusher_B3,470,31.08,15.122782494209565
N20000670,"Armagh City, Banbridge and Craigavon",22.75,2.13,Cusher_A2,484,22.75,21.276318793379403
N20000671,"Armagh City, Banbridge and Craigavon",24.8,2.73,Cusher_B4,673,24.8,27.133550277487007
N20000672,"Armagh City, Banbridge and Craigavon",675.11,17.48,Cusher_D1,328,675.11,0.48584667199113135
N20000673,"Armagh City, Banbridge and Craigavon",14.36,2.25,Cusher_B5,593,14.36,41.28782029884659
N20000674,"Armagh City, Banbridge and Craigavon",1482.85,20.9,Cusher_E3,546,1482.85,0.36821101965910213
N20000675,"Armagh City, Banbridge and Craigavon",22.71,2.25,Cusher_A3,578,22.71,25.455715889432415
N20000676,"Armagh City, Banbridge and Craigavon",1009.62,16.59,Cusher_D2,675,1009.62,0.6685682161724741
N20000677,"Armagh City, Banbridge and Craigavon",9.89,1.53,Cusher_B6,348,9.89,35.19285770978295
N20000678,"Armagh City, Banbridge and Craigavon",17.11,2.25,Cusher_C1,607,17.11,35.47888792046921
N20000679,"Armagh City, Banbridge and Craigavon",21.52,2.53,Cusher_C2,771,21.52,35.829717137089276
N20000680,"Armagh City, Banbridge and Craigavon",9.35,1.51,Cusher_C3,454,9.35,48.56656501013129
N20000681,"Armagh City, Banbridge and Craigavon",1378.72,26.9,Cusher_E4,661,1378.72,0.4794313916031134
N20000682,"Armagh City, Banbridge and Craigavon",33.76,2.97,Cusher_F1,494,33.76,14.633227710516802
N20000683,"Armagh City, Banbridge and Craigavon",20.41,3.12,Cusher_F2,422,20.41,20.672409511773452
N20000684,"Armagh City, Banbridge and Craigavon",20.68,2.5,Cusher_F3,380,20.68,18.37431041342364
N20000685,"Armagh City, Banbridge and Craigavon",1685.75,20.41,Cusher_D3,775,1685.75,0.45973544530559723
N20000686,"Armagh City, Banbridge and Craigavon",24.9,2.28,Cusher_F4,418,24.9,16.786478401508212
N20000687,"Armagh City, Banbridge and Craigavon",10.14,1.82,Cusher_G1,506,10.14,49.89356271394097
N20000688,"Armagh City, Banbridge and Craigavon",1174.45,20.45,Cusher_E5,667,1174.45,0.5679243129230132
N20000689,"Armagh City, Banbridge and Craigavon",1593.36,25.74,Cusher_G2,704,1593.36,0.4418341005446275
N20000690,"Armagh City, Banbridge and Craigavon",188.34,7.2,Cusher_G3,603,188.34,3.2016141339422206
N20000691,"Armagh City, Banbridge and Craigavon",1372.8,16.76,Cusher_G4,534,1372.8,0.38898476741813587
N20000692,"Armagh City, Banbridge and Craigavon",2141.77,33.39,Cusher_H1,845,2141.77,0.394532967815979
N20000693,"Armagh City, Banbridge and Craigavon",832.73,13.29,Cusher_K1,476,832.73,0.5716172639033541
N20000694,"Armagh City, Banbridge and Craigavon",2283.31,28.9,Cusher_H2,715,2283.31,0.31314180990541546
N20000695,"Armagh City, Banbridge and Craigavon",1444.37,18.83,Cusher_K2,704,1444.37,0.48740867698961965
N20000696,"Armagh City, Banbridge and Craigavon",30.99,3.01,Cusher_J1,423,30.99,13.651537443544862
N20000697,"Armagh City, Banbridge and Craigavon",18.77,2.12,Cusher_J2,635,18.77,33.83465960541792
N20000698,"Armagh City, Banbridge and Craigavon",8.01,1.41,Cusher_J3,248,8.01,30.957027198884028
N20000699,"Armagh City, Banbridge and Craigavon",1413.28,20.81,Cusher_K3,562,1413.28,0.39765627624123384
N20000700,"Armagh City, Banbridge and Craigavon",35.32,3.14,Cusher_J4,600,35.32,16.98953542573207
N20000701,"Armagh City, Banbridge and Craigavon",1361.82,19.41,Cusher_L1,748,1361.82,0.5492639023223238
N20000702,"Armagh City, Banbridge and Craigavon",730.03,12.19,Cusher_K4,500,730.03,0.6849062436996254
N20000703,"Armagh City, Banbridge and Craigavon",1782.05,22.02,Cusher_K5,614,1782.05,0.3445460517368963
N20000704,"Armagh City, Banbridge and Craigavon",446.43,9.48,Cusher_H3,399,446.43,0.8937473076592782
N20000705,"Armagh City, Banbridge and Craigavon",220.19,7.67,Cusher_L2,456,220.19,2.0709678120539534
N20000706,"Armagh City, Banbridge and Craigavon",1300.82,17.84,Cusher_L3,767,1300.82,0.5896284743707428
N20000707,"Armagh City, Banbridge and Craigavon",446.37,11.65,Cusher_L4,536,446.37,1.200792375673913
N20000708,"Armagh City, Banbridge and Craigavon",973.19,19.05,Cusher_H4,565,973.19,0.5805658071366518
N20000709,"Armagh City, Banbridge and Craigavon",3274.55,33.85,Cusher_K6,736,3274.55,0.22476404363472263
N20000710,"Armagh City, Banbridge and Craigavon",1671.97,21.48,Cusher_L5,874,1671.97,0.5227366147388988
N20000711,Belfast,404.08,11.34,Oldpark_A1,764,404.08,1.8907264167994244
N20000712,Belfast,305.0,9.4,Oldpark_A2,475,305.0,1.5573777286075525
N20000713,Belfast,57.97,4.79,Oldpark_A3,584,57.97,10.074650839687008
N20000714,Belfast,4.58,1.0,Oldpark_B1,248,4.58,54.1470762171924
N20000715,Belfast,12.5,1.72,Oldpark_D1,581,12.5,46.479014438155254
N20000716,Belfast,9.08,1.27,Oldpark_C1,626,9.08,68.90489463916424
N20000717,Belfast,9.23,1.3,Oldpark_B2,590,9.23,63.928222563650706
N20000718,Belfast,7.51,1.52,Oldpark_B3,447,7.51,59.51054599121034
N20000719,Belfast,7.88,1.76,Oldpark_A4,526,7.88,66.74630393553161
N20000720,Belfast,5.66,1.08,Oldpark_B4,389,5.66,68.75764072353657
N20000721,Belfast,6.36,1.04,Oldpark_A5,359,6.36,56.47366198461993
N20000722,Belfast,7.88,1.5,Oldpark_C2,412,7.88,52.297031398255754
N20000723,Belfast,6.85,1.34,Oldpark_C3,570,6.85,83.15668884338214
N20000724,Belfast,7.7,1.31,Oldpark_D2,446,7.7,57.946647707837684
N20000725,Belfast,14.28,1.89,Oldpark_D3,372,14.28,26.057810768479587
N20000726,Belfast,13.24,1.78,Oldpark_E1,536,13.24,40.491329424150415
N20000727,Belfast,5.44,1.04,Oldpark_C4,390,5.44,71.66534492886709
N20000728,Belfast,12.54,1.71,Oldpark_F1,427,12.54,34.038963274339274
N20000729,Belfast,4.4,1.08,Oldpark_E2,359,4.4,81.53759536725904
N20000730,Belfast,12.86,1.94,Oldpark_F2,702,12.86,54.5671632959717
N20000731,Belfast,27.44,3.24,Oldpark_D4,728,27.44,26.534689228242613
N20000732,Belfast,10.98,1.54,Oldpark_E3,516,10.98,46.98089623798475
N20000733,Belfast,31.23,2.48,Oldpark_E4,590,31.23,18.891187193483596
N20000734,Belfast,27.85,2.87,Oldpark_G1,358,27.85,12.852436969046924
N20000735,Belfast,13.19,1.8,Oldpark_G2,518,13.19,39.28159186976595
N20000736,Belfast,5.55,1.22,Oldpark_F3,426,5.55,76.8172357332378
N20000737,Belfast,7.5,1.2,Oldpark_K1,491,7.5,65.44773862740406
N20000738,Belfast,4.99,0.97,Oldpark_G3,467,4.99,93.67704600406273
N20000739,Belfast,7.89,1.83,Oldpark_E5,309,7.89,39.15545272724528
N20000740,Belfast,7.68,1.4,Oldpark_H1,437,7.68,56.93539582693447
N20000741,Belfast,7.29,1.38,Oldpark_G4,448,7.29,61.4793025222422
N20000742,Belfast,10.32,1.31,Oldpark_K2,387,10.32,37.4915426069581
N20000743,Belfast,6.07,1.39,Oldpark_J1,448,6.07,73.79334917720915
N20000744,Belfast,7.15,1.09,Oldpark_J2,494,7.15,69.13918980328125
N20000745,Belfast,8.93,1.67,Oldpark_G5,401,8.93,44.91065745984801
N20000746,Belfast,6.69,1.22,Oldpark_N1,673,6.69,100.55083382175322
N20000747,Belfast,3.09,1.01,Oldpark_L1,389,3.09,125.84848616004822
N20000748,Belfast,6.44,1.37,Oldpark_H2,687,6.44,106.75742351919325
N20000749,Belfast,4.55,1.01,Oldpark_N2,648,4.55,142.4380396787612
N20000750,Belfast,9.99,1.38,Oldpark_L2,529,9.99,52.97091991112555
N20000751,Belfast,4.26,1.21,Oldpark_H3,427,4.26,100.14585206949896
N20000752,Belfast,2.88,0.69,Oldpark_J3,395,2.88,137.1229150445927
N20000753,Belfast,3.92,0.83,Oldpark_K3,487,3.92,124.15599614246351
N20000754,Belfast,1.57,0.51,Oldpark_R1,220,1.57,140.3249300794376
N20000755,Belfast,7.11,1.34,Oldpark_N3,502,7.11,70.58775408944096
N20000756,Belfast,7.82,1.9,Oldpark_K4,463,7.82,59.23324438753107
N20000757,Belfast,2.27,0.6,Oldpark_L3,441,2.27,194.25498322539727
N20000758,Belfast,3.98,0.96,Oldpark_Q1,562,3.98,141.08810681100007
N20000759,Belfast,4.84,0.99,Oldpark_R2,429,4.84,88.71094328562653
N20000760,Belfast,3.01,0.76,Oldpark_P1,414,3.01,137.7259459621551
N20000761,Belfast,6.25,1.03,Oldpark_L4,529,6.25,84.59060417477922
N20000762,Belfast,2.63,0.75,Oldpark_P2,377,2.63,143.25143851703842
N20000763,Belfast,3.81,0.92,Oldpark_L5,374,3.81,98.21232362394514
N20000764,Belfast,6.58,1.36,Oldpark_R3,395,6.58,59.98794926112846
N20000765,Belfast,4.59,0.96,Oldpark_Q2,370,4.59,80.52888346079244
N20000766,Belfast,2.51,0.79,Oldpark_R4,325,2.51,129.5428558584229
N20000767,Belfast,10.62,1.51,Oldpark_N4,563,10.62,53.01853344238291
N20000768,Belfast,5.39,1.25,Oldpark_P3,484,5.39,89.76919781448743
N20000769,Belfast,2.19,0.75,Oldpark_R5,483,2.19,221.0435954786268
N20000770,Belfast,15.82,2.44,Oldpark_Q3,579,15.82,36.59859994069798
N20000771,Belfast,2.99,0.99,Oldpark_S1,417,2.99,139.46070835241972
N20000772,Belfast,1.15,0.5,Oldpark_U1,221,1.15,192.35670508739526
N20000773,Belfast,4.83,1.02,Oldpark_T1,425,4.83,88.03862938546929
N20000774,Belfast,2.08,0.62,Oldpark_U2,227,2.08,109.11411145291764
N20000775,Belfast,24.94,2.63,Oldpark_R6,441,24.94,17.681502698638376
N20000776,Belfast,8.23,1.23,Oldpark_Q4,535,8.23,65.02654722719602
N20000777,Belfast,2.02,0.6,Oldpark_S2,225,2.02,111.63538049504203
N20000778,Belfast,1.42,0.52,Oldpark_S3,254,1.42,178.67104677434142
N20000779,Belfast,3.05,0.79,Oldpark_T2,345,3.05,113.11936114210695
N20000780,Belfast,0.74,0.37,Oldpark_S4,161,0.74,216.8153930124987
N20000781,Belfast,14.15,1.74,Oldpark_T3,419,14.15,29.617079882296505
N20000782,Belfast,3.78,0.99,Oldpark_S5,401,3.78,106.17270306812046
N20000783,Belfast,10.28,1.54,Oldpark_U3,581,10.28,56.498136996794344
N20000784,Belfast,6.3,1.12,Oldpark_T4,383,6.3,60.81647429551872
N20000785,Belfast,7.45,1.17,Oldpark_U4,470,7.45,63.06944976701751
N20000786,Belfast,12.48,1.76,Oldpark_U5,277,12.48,22.194772024646603
N20000787,Belfast,63.01,3.47,Castle_A1,517,63.01,8.204799698956196
N20000788,Belfast,15.22,1.66,Castle_A2,735,15.22,48.27855087507628
N20000789,Belfast,50.89,3.48,Castle_A3,450,50.89,8.84341628161707
N20000790,Belfast,8.21,1.28,Castle_B1,472,8.21,57.48501303615372
N20000791,Belfast,14.39,2.11,Castle_B2,504,14.39,35.031275733221875
N20000792,Belfast,6.0,1.33,Castle_B3,438,6.0,73.02909178380239
N20000793,Belfast,7.78,1.47,Castle_B4,525,7.78,67.52208993660767
N20000794,Belfast,8.9,1.47,Castle_C1,570,8.9,64.06333985948004
N20000795,Belfast,9.39,1.4,Castle_C2,649,9.39,69.13078288726427
N20000796,Belfast,298.46,8.41,Castle_D1,713,298.46,2.388967189435913
N20000797,Belfast,62.55,4.29,Castle_C3,531,62.55,8.489673939431746
N20000798,Belfast,7.18,1.16,Castle_E1,499,7.18,69.50738332878096
N20000799,Belfast,15.98,2.22,Castle_D2,562,15.98,35.159087873089454
N20000800,Belfast,9.28,1.49,Castle_E2,596,9.28,64.20993046195784
N20000801,Belfast,8.87,1.31,Castle_E3,500,8.87,56.35570794582216
N20000802,Belfast,12.28,1.54,Castle_F1,526,12.28,42.82389126735499
N20000803,Belfast,12.68,1.72,Castle_F2,544,12.68,42.91281831567515
N20000804,Belfast,5.41,1.32,Castle_H1,344,5.41,63.542800805894395
N20000805,Belfast,11.89,1.49,Castle_G1,571,11.89,48.004917480757655
N20000806,Belfast,14.89,2.13,Castle_G2,478,14.89,32.10231205925228
N20000807,Belfast,11.73,1.87,Castle_J1,604,11.73,51.505715811094966
N20000808,Belfast,18.69,2.1,Castle_D3,521,18.69,27.881345463748648
N20000809,Belfast,14.15,2.36,Castle_G3,559,14.15,39.504302913819124
N20000810,Belfast,6.83,1.2,Castle_H2,428,6.83,62.62295476258203
N20000811,Belfast,14.29,1.97,Castle_H3,644,14.29,45.06531596399876
N20000812,Belfast,12.28,1.82,Castle_F3,318,12.28,25.893935335774685
N20000813,Belfast,4.61,1.01,Castle_H4,247,4.61,53.55225872389353
N20000814,Belfast,3.99,0.98,Castle_J2,338,3.99,84.69706600804686
N20000815,Belfast,5.84,1.11,Castle_J3,371,5.84,63.50557427106434
N20000816,Belfast,12.3,1.56,Castle_J4,613,12.3,49.83318398647578
N20000817,Belfast,23.22,2.28,Castle_H5,749,23.22,32.26123471771894
N20000818,Belfast,7.24,1.14,Castle_L1,442,7.24,61.084255207784835
N20000819,Belfast,7.47,1.42,Castle_G4,356,7.47,47.68017115578534
N20000820,Belfast,6.71,1.15,Castle_G5,442,6.71,65.86492997108513
N20000821,Belfast,10.64,1.76,Castle_K1,318,10.64,29.880219323501308
N20000822,Belfast,8.44,1.21,Castle_L2,244,8.44,28.908926494564827
N20000823,Belfast,11.33,1.4,Castle_K2,501,11.33,44.22533834360291
N20000824,Belfast,8.74,1.35,Castle_L3,636,8.74,72.76693541508219
N20000825,Belfast,800.99,13.64,Castle_Q1,320,800.99,0.3995078913869749
N20000826,Belfast,10.29,1.91,Castle_N1,308,10.29,29.94638311177224
N20000827,Belfast,47.15,3.73,Castle_J5,516,47.15,10.94297992153276
N20000828,Belfast,4.92,1.03,Castle_K3,340,4.92,69.08937487924545
N20000829,Belfast,5.8,1.12,Castle_K4,327,5.8,56.425034990661956
