Geography Code,LGD2014_nm,Area_ha,Perim_km,Geography,All usual residents,"Area (hectares)
[note 1, 2]",Population density (number of usual residents per hectare)
N20000455,"Armagh City, Banbridge and Craigavon",32.96,2.81,Craigavon_F6,458,32.96,13.896512368964949
N20000456,"Armagh City, Banbridge and Craigavon",23.19,2.21,Craigavon_H2,422,23.19,18.196083871198436
N20000457,"Armagh City, Banbridge and Craigavon",56.02,3.52,Craigavon_J3,619,56.02,11.049471035772255
N20000458,"Armagh City, Banbridge and Craigavon",435.11,12.35,Craigavon_L1,404,435.11,0.9284962693820582
N20000459,"Armagh City, Banbridge and Craigavon",11.37,1.44,Craigavon_H3,418,11.37,36.75829742514489
N20000460,"Armagh City, Banbridge and Craigavon",36.15,3.2,Craigavon_H4,706,36.15,19.52907688088893
N20000461,"Armagh City, Banbridge and Craigavon",10.73,1.83,Craigavon_J4,656,10.73,61.157847879830555
N20000462,"Armagh City, Banbridge and Craigavon",16.71,1.91,Craigavon_N1,489,16.71,29.26302806984919
N20000463,"Armagh City, Banbridge and Craigavon",12.83,2.3,Craigavon_K1,414,12.83,32.2650322212356
N20000464,"Armagh City, Banbridge and Craigavon",27.5,2.58,Craigavon_N2,524,27.5,19.05570908206593
N20000465,"Armagh City, Banbridge and Craigavon",14.9,2.98,Craigavon_L2,241,14.9,16.170761594930383
N20000466,"Armagh City, Banbridge and Craigavon",6.4,1.13,Craigavon_K2,504,6.4,78.74345416369725
N20000467,"Armagh City, Banbridge and Craigavon",12.08,1.82,Craigavon_L3,485,12.08,40.141133854913605
N20000468,"Armagh City, Banbridge and Craigavon",9.74,1.44,Craigavon_K3,460,9.74,47.21415334303144
N20000469,"Armagh City, Banbridge and Craigavon",318.24,10.42,Craigavon_P1,573,318.24,1.8005378871353932
N20000470,"Armagh City, Banbridge and Craigavon",41.08,3.5,Craigavon_N3,466,41.08,11.34501633654024
N20000471,"Armagh City, Banbridge and Craigavon",13.58,1.6,Craigavon_N4,631,13.58,46.45886447408362
N20000472,"Armagh City, Banbridge and Craigavon",14.43,2.14,Craigavon_N5,611,14.43,42.33211370822093
N20000473,"Armagh City, Banbridge and Craigavon",239.32,8.71,Craigavon_L4,466,239.32,1.9471876444680767
N20000474,"Armagh City, Banbridge and Craigavon",588.35,16.83,Craigavon_P2,724,588.35,1.230550312320835
N20000475,"Armagh City, Banbridge and Craigavon",282.75,9.52,Craigavon_P3,648,282.75,2.2918154222118376
N20000476,"Armagh City, Banbridge and Craigavon",1121.07,22.19,Lurgan_A1,569,1121.07,0.5075502324888288
N20000477,"Armagh City, Banbridge and Craigavon",462.94,13.94,Lurgan_B1,566,462.94,1.2226324425369648
N20000478,"Armagh City, Banbridge and Craigavon",686.19,11.81,Lurgan_A2,618,686.19,0.9006251798557126
N20000479,"Armagh City, Banbridge and Craigavon",7.17,1.25,Lurgan_A3,382,7.17,53.2545102275054
N20000480,"Armagh City, Banbridge and Craigavon",16.81,2.01,Lurgan_A4,478,16.81,28.437266340504948
N20000481,"Armagh City, Banbridge and Craigavon",860.27,25.72,Lurgan_B2,661,860.27,0.7683669715164079
N20000482,"Armagh City, Banbridge and Craigavon",1434.65,22.85,Lurgan_A5,777,1434.65,0.5415949714207458
N20000483,"Armagh City, Banbridge and Craigavon",123.66,5.65,Lurgan_C1,682,123.66,5.515178423645389
N20000484,"Armagh City, Banbridge and Craigavon",48.72,3.03,Lurgan_C2,551,48.72,11.308751165213634
