LGD2014NAME,2015 Default Urban/Rural,SA2011,SOA2001_name,Multiple Deprivation Measure Rank,Income Domain Rank,Employment Domain Rank,Health Deprivation and Disability Domain Rank,"Education, Skills and Training Domain Rank",Access to Services Domain Rank,Living Environment Domain Rank,Crime and Disorder Domain Rank,Proportion of the population living in households whose equivalised income is below 60 per cent of the NI median,Proportion of the working age population who are employment deprived,Religion: Catholic,Religion: Presbyterian Church in Ireland,Religion: Church of Ireland,Religion: Methodist Church in Ireland,Religion: Other Christian (including Christian related),Religion: Other religions,Religion: No religion,Religion: Religion not stated,Religion: Catholic (%),Religion: Presbyterian Church in Ireland (%),Religion: Church of Ireland (%),Religion: Methodist Church in Ireland (%),Religion: Other Christian (including Christian related) (%),Religion: Other religions (%),Religion: No religion (%),Religion: Religion not stated (%),Area_Code,MYE,centre_x,centre_y,Type of long-term condition: Deafness or partial hearing loss (%),Type of long-term condition: Blindness or partial sight loss (%),Type of long-term condition: Communication difficulty (%),Type of long-term condition: A mobility or dexterity difficulty (%),"Type of long-term condition: A learning, intellectual, social or behavioural difficulty (%)","Type of long-term condition: An emotional, psychological or mental health condition (%)",Type of long-term condition: Long-term pain or discomfort (%),Type of long-term condition: Shortness of breath or difficulty breathing (%),Type of long-term condition: Frequent periods of confusion or memory loss (%),Type of long-term condition: A chronic illness (%),Type of long-term condition: Other condition (%),Type of long-term condition: No condition (%)
Antrim and Newtownabbey,Rural,N00000001,Aldergrove_1,3051,3608,4511,4537,1532,208,1252,4206,0.09,0.05,141,72,53,12,321,23,482,9,12.67,6.47,4.76,1.08,28.84,2.07,43.31,0.81,N00000001,1028,-6.218373577558905,54.6550358077733,1.26,0.45,0.63,1.44,1.8,1.53,3.23,2.96,0.27,1.17,1.08,88.05
Antrim and Newtownabbey,Mixed urban/rural,N00000002,Aldergrove_2,3726,4319,3042,2814,3382,1555,1946,3381,0.05,0.14,219,36,33,4,7,3,23,26,62.39,10.26,9.4,1.14,1.99,0.85,6.55,7.41,N00000002,429,-6.212844457965391,54.62955519134457,5.13,0.0,1.14,7.98,1.99,4.56,7.41,7.69,1.71,6.27,4.27,72.65
Antrim and Newtownabbey,Rural,N00000003,Aldergrove_2,3733,3383,4013,3761,3728,493,3838,4190,0.09,0.1,109,38,25,18,26,0,15,6,45.99,16.03,10.55,7.59,10.97,0.0,6.33,2.53,N00000003,255,-6.193311098859336,54.642598252875615,3.8,3.38,1.69,10.13,2.95,3.8,10.55,5.49,1.69,5.91,5.49,69.2
Antrim and Newtownabbey,Rural,N00000004,Aldergrove_2,3409,2621,3548,3666,3325,642,3648,4374,0.11,0.12,296,92,103,21,20,0,63,21,48.05,14.94,16.72,3.41,3.25,0.0,10.23,3.41,N00000004,619,-6.341944499985775,54.622461960778544,4.06,0.65,1.62,8.44,2.27,3.08,6.17,7.79,0.49,5.03,5.36,73.7
Antrim and Newtownabbey,Rural,N00000005,Aldergrove_2,2828,1934,3197,3596,3783,319,3581,3843,0.14,0.14,171,85,30,4,15,0,50,19,45.72,22.73,8.02,1.07,4.01,0.0,13.37,5.08,N00000005,498,-6.278187083712149,54.673708093466765,2.67,0.53,0.27,6.95,1.34,2.14,7.75,5.08,0.0,3.21,5.08,77.81
Antrim and Newtownabbey,Rural,N00000006,Aldergrove_2,3871,4364,4018,3064,3048,906,2604,4218,0.05,0.1,144,39,28,3,8,4,19,6,57.37,15.54,11.16,1.2,3.19,1.59,7.57,2.39,N00000006,322,-6.238043156313419,54.64237705512543,5.18,3.19,1.99,7.17,3.59,5.18,6.37,4.78,2.39,4.38,4.78,70.52
Antrim and Newtownabbey,Rural,N00000007,Aldergrove_3,2891,2146,3190,4022,3486,387,1827,4152,0.13,0.14,55,69,52,5,10,0,38,16,22.45,28.16,21.22,2.04,4.08,0.0,15.51,6.53,N00000007,250,-6.2259326800345915,54.68602626182924,2.86,0.82,2.45,6.94,2.04,1.63,4.9,9.39,2.45,7.76,4.9,76.73
Antrim and Newtownabbey,Mixed urban/rural,N00000008,Aldergrove_3,1594,2079,1209,1423,2724,961,673,2017,0.13,0.28,76,70,32,5,22,2,60,21,26.39,24.31,11.11,1.74,7.64,0.69,20.83,7.29,N00000008,297,-6.186302115816895,54.68865579077118,3.82,1.74,0.69,9.03,0.69,2.78,9.38,4.51,1.04,5.21,4.86,72.57
Antrim and Newtownabbey,Mixed urban/rural,N00000009,Aldergrove_3,3824,2868,4280,4166,3635,804,4358,3352,0.11,0.08,121,296,68,8,70,11,111,42,16.64,40.72,9.35,1.1,9.63,1.51,15.27,5.78,N00000009,813,-6.160385112369834,54.68287426280336,3.3,0.55,0.96,5.36,1.24,3.03,6.33,6.19,0.55,4.4,4.4,79.78
Antrim and Newtownabbey,Rural,N00000010,Aldergrove_3,2821,3175,2475,3388,3725,434,696,4122,0.1,0.17,24,124,17,2,28,0,26,21,9.92,51.24,7.02,0.83,11.57,0.0,10.74,8.68,N00000010,264,-6.185057413162555,54.661297360296956,2.48,0.0,1.24,7.85,2.07,2.89,9.09,7.44,1.24,6.61,3.31,71.9
Antrim and Newtownabbey,Mixed urban/rural,N00000011,Balloo,2398,4245,2039,1463,1451,1778,3257,496,0.06,0.2,78,84,60,1,15,3,25,27,26.62,28.67,20.48,0.34,5.12,1.02,8.53,9.22,N00000011,336,-6.240380875079626,54.70620026761129,8.53,3.07,2.39,20.48,2.39,5.12,20.48,11.26,2.73,7.51,6.48,57.0
Antrim and Newtownabbey,Urban,N00000012,Balloo,2724,3730,2284,1583,2022,2168,2158,1466,0.08,0.18,76,78,58,2,6,2,24,18,28.79,29.55,21.97,0.76,2.27,0.76,9.09,6.82,N00000012,247,-6.21931693179352,54.70536244771302,4.92,0.76,1.89,14.39,1.14,6.44,11.74,6.82,2.65,5.68,5.68,67.8
Antrim and Newtownabbey,Urban,N00000013,Balloo,2679,3606,1815,2095,2922,3632,865,481,0.09,0.22,78,59,57,4,11,0,36,23,29.1,22.01,21.27,1.49,4.1,0.0,13.43,8.58,N00000013,251,-6.220659126952652,54.711204045931716,9.7,2.99,2.61,15.3,2.99,4.85,13.81,8.58,1.12,7.84,7.09,59.33
Antrim and Newtownabbey,Urban,N00000014,Balloo,2703,3660,2008,1473,1843,2309,4281,1930,0.08,0.2,158,109,73,9,9,1,66,35,34.35,23.7,15.87,1.96,1.96,0.22,14.35,7.61,N00000014,471,-6.216766679879429,54.70867611743268,5.22,1.52,1.3,12.61,0.22,5.65,11.96,11.09,1.3,5.43,7.17,66.52
Antrim and Newtownabbey,Urban,N00000015,Balloo,1141,2456,795,918,529,2287,2864,935,0.12,0.34,69,70,45,2,4,0,24,12,30.53,30.97,19.91,0.88,1.77,0.0,10.62,5.31,N00000015,241,-6.226705267398509,54.70990908842647,8.41,1.77,0.88,22.57,1.77,11.95,18.14,14.6,2.65,11.06,6.64,53.98
Antrim and Newtownabbey,Urban,N00000016,Balloo,1040,932,1459,1003,721,2311,2603,506,0.17,0.25,45,61,55,2,14,0,29,17,20.18,27.35,24.66,0.9,6.28,0.0,13.0,7.62,N00000016,213,-6.222520103018575,54.70768253060889,6.28,3.14,2.69,18.83,1.79,9.87,14.35,12.11,3.14,7.17,7.17,58.74
Antrim and Newtownabbey,Urban,N00000017,Ballycraigy,1473,789,1737,1530,2109,1424,3869,1685,0.18,0.23,33,123,69,9,28,3,57,18,9.71,36.18,20.29,2.65,8.24,0.88,16.76,5.29,N00000017,394,-6.189060829247188,54.70784292116909,3.53,1.18,2.35,11.47,3.24,6.18,10.59,10.59,0.88,6.47,4.41,65.88
Antrim and Newtownabbey,Urban,N00000018,Ballycraigy,3243,3868,2744,2162,2437,1747,2622,2228,0.08,0.16,24,80,48,8,16,2,32,19,10.48,34.93,20.96,3.49,6.99,0.87,13.97,8.3,N00000018,231,-6.188398345013335,54.705649799539195,6.11,2.62,0.44,8.73,2.62,4.37,10.48,10.04,1.75,6.11,5.24,67.69
Antrim and Newtownabbey,Urban,N00000019,Ballycraigy,1633,3388,1103,1226,1080,1398,2461,1237,0.09,0.29,4,86,90,3,10,8,40,20,1.53,32.95,34.48,1.15,3.83,3.07,15.33,7.66,N00000019,302,-6.1839980938219545,54.70863863698093,4.98,1.53,0.38,10.73,2.3,7.28,15.33,12.64,0.77,10.73,3.45,60.15
Antrim and Newtownabbey,Urban,N00000020,Ballycraigy,502,381,685,425,1087,1819,4018,620,0.21,0.35,9,96,50,11,8,0,44,18,3.81,40.68,21.19,4.66,3.39,0.0,18.64,7.63,N00000020,214,-6.185333615076204,54.70652933393061,4.24,2.12,1.27,11.44,5.08,11.44,13.56,16.1,1.69,10.17,7.2,55.51
Antrim and Newtownabbey,Urban,N00000021,Ballycraigy,1597,3265,1158,766,1082,2225,3530,910,0.1,0.29,32,101,49,2,8,0,58,19,11.9,37.55,18.22,0.74,2.97,0.0,21.56,7.06,N00000021,263,-6.178153171467085,54.70576571194007,7.81,1.86,1.49,18.22,4.09,8.55,17.84,12.64,3.72,7.43,8.55,56.13
Antrim and Newtownabbey,Urban,N00000022,Ballycraigy,1215,926,2127,1162,890,1634,1551,934,0.17,0.19,29,103,42,11,23,1,38,22,10.78,38.29,15.61,4.09,8.55,0.37,14.13,8.18,N00000022,225,-6.180652021941283,54.70539896047703,6.32,1.86,1.12,14.87,3.72,8.18,17.1,8.55,2.23,7.81,6.32,62.08
Antrim and Newtownabbey,Urban,N00000023,Ballycraigy,1358,1307,1471,906,1704,1764,3448,592,0.16,0.25,4,95,30,6,17,1,46,19,1.83,43.58,13.76,2.75,7.8,0.46,21.1,8.72,N00000023,216,-6.183629861902712,54.705075277376665,8.26,2.29,2.29,23.85,2.75,9.63,20.64,15.14,3.67,10.55,5.5,54.13
Antrim and Newtownabbey,Rural,N00000024,Clady,3768,3358,4009,4258,4063,464,3767,3298,0.09,0.1,55,241,76,23,46,0,75,17,10.32,45.22,14.26,4.32,8.63,0.0,14.07,3.19,N00000024,534,-6.122834198317702,54.662253495338994,3.38,0.19,1.5,7.69,1.88,1.31,8.44,7.69,0.94,5.44,4.5,73.73
Antrim and Newtownabbey,Rural,N00000025,Clady,3070,3238,3406,3660,3085,273,2079,3022,0.1,0.13,59,239,43,11,31,3,53,21,12.83,51.96,9.35,2.39,6.74,0.65,11.52,4.57,N00000025,533,-6.0989954622467994,54.63939299091384,3.26,1.09,1.52,8.7,1.74,4.35,6.96,6.74,1.74,5.87,4.78,73.04
Antrim and Newtownabbey,Rural,N00000026,Clady,3081,2597,3752,3411,3482,357,2588,2527,0.12,0.11,82,197,69,4,32,1,50,31,17.6,42.27,14.81,0.86,6.87,0.21,10.73,6.65,N00000026,510,-6.145677800744934,54.63881428319728,3.86,0.86,0.64,7.51,1.72,3.65,9.23,6.01,1.29,6.44,3.0,76.82
Antrim and Newtownabbey,Mixed urban/rural,N00000027,Clady,1553,543,2208,3110,2685,871,2257,1567,0.2,0.19,284,114,38,9,13,4,47,31,52.59,21.11,7.04,1.67,2.41,0.74,8.7,5.74,N00000027,582,-6.183552383161462,54.61757401464048,4.63,1.11,0.56,7.22,0.93,3.15,7.04,6.85,0.74,4.63,4.07,77.22
Antrim and Newtownabbey,Urban,N00000028,Clady,3334,1833,3453,3212,3567,1697,3710,3625,0.14,0.13,163,23,20,0,6,1,19,4,69.07,9.75,8.47,0.0,2.54,0.42,8.05,1.69,N00000028,394,-6.205499590493284,54.620866311951445,2.54,0.85,0.42,7.2,0.42,3.39,7.63,6.78,0.42,4.24,4.24,75.0
Antrim and Newtownabbey,Rural,N00000029,Clady,2562,1123,4125,4308,3948,267,2298,3488,0.17,0.09,39,233,28,5,32,7,56,3,9.68,57.82,6.95,1.24,7.94,1.74,13.9,0.74,N00000029,444,-6.082066318626889,54.67816440064481,6.2,0.74,0.0,5.96,1.74,2.23,7.44,5.46,0.0,4.47,5.21,75.19
Antrim and Newtownabbey,Rural,N00000030,Clady,2588,4026,3919,3286,3381,134,64,2024,0.07,0.1,69,151,43,12,33,3,43,21,18.4,40.27,11.47,3.2,8.8,0.8,11.47,5.6,N00000030,376,-6.04135149952954,54.64110659187478,5.33,2.4,1.6,8.53,1.87,4.27,5.87,7.47,0.8,5.33,5.07,73.33
Antrim and Newtownabbey,Rural,N00000031,Cranfield,2563,2120,3573,3245,4218,47,3400,4261,0.13,0.12,612,34,6,1,8,0,14,32,86.56,4.81,0.85,0.14,1.13,0.0,1.98,4.53,N00000031,794,-6.352996159138647,54.69606801583558,3.11,1.13,0.99,8.49,1.27,2.97,7.07,6.79,0.99,4.24,5.94,75.25
Antrim and Newtownabbey,Mixed urban/rural,N00000032,Cranfield,3775,4016,3050,2510,3687,1612,3412,3707,0.07,0.14,214,75,32,1,16,0,34,14,55.44,19.43,8.29,0.26,4.15,0.0,8.81,3.63,N00000032,346,-6.333020339580372,54.736466252641556,6.74,2.59,1.55,10.36,1.04,3.89,11.66,8.55,1.04,8.55,4.92,65.28
Antrim and Newtownabbey,Rural,N00000033,Cranfield,1950,565,3488,3982,4133,414,881,4121,0.2,0.12,276,134,20,0,17,3,34,14,55.42,26.91,4.02,0.0,3.41,0.6,6.83,2.81,N00000033,548,-6.376320302356949,54.737323533006084,5.02,1.2,0.2,7.03,1.0,2.01,6.83,3.82,0.4,5.22,3.21,78.71
Antrim and Newtownabbey,Mixed urban/rural,N00000034,Cranfield,4078,4106,3412,3369,3038,2167,3935,4459,0.07,0.13,158,146,40,2,38,5,41,44,33.33,30.8,8.44,0.42,8.02,1.05,8.65,9.28,N00000034,428,-6.3461928319883425,54.75003306084342,9.7,3.16,4.22,12.03,1.48,6.54,6.75,8.02,5.91,5.7,9.49,67.51
Antrim and Newtownabbey,Urban,N00000035,Cranfield,1048,1515,740,1063,678,2052,3309,1498,0.15,0.34,128,62,19,4,21,2,21,34,43.99,21.31,6.53,1.37,7.22,0.69,7.22,11.68,N00000035,271,-6.328261398272887,54.747963333046705,3.44,1.03,1.03,12.37,3.44,8.59,12.37,8.25,1.72,7.22,4.47,61.86
Antrim and Newtownabbey,Urban,N00000036,Cranfield,3031,3689,2052,2097,2161,2497,4360,1812,0.08,0.2,191,31,40,0,10,0,34,39,55.36,8.99,11.59,0.0,2.9,0.0,9.86,11.3,N00000036,340,-6.330080448043254,54.746407192614406,4.35,0.58,0.87,7.83,1.74,4.64,7.54,6.67,1.74,4.93,4.64,69.86
Antrim and Newtownabbey,Urban,N00000037,Crumlin_1,2450,3980,1695,1601,1435,2046,4030,1220,0.07,0.23,213,21,16,0,3,1,19,12,74.74,7.37,5.61,0.0,1.05,0.35,6.67,4.21,N00000037,265,-6.219856556313848,54.61686459106495,5.96,3.86,1.75,16.84,3.86,7.37,14.39,15.44,1.4,10.18,8.07,58.6
Antrim and Newtownabbey,Mixed urban/rural,N00000038,Crumlin_1,2702,2210,2713,1902,2978,1014,4132,3125,0.13,0.16,291,21,32,2,4,0,23,33,71.67,5.17,7.88,0.49,0.99,0.0,5.67,8.13,N00000038,417,-6.245338739591308,54.604990874651946,3.94,0.49,2.71,15.27,3.2,3.2,13.05,8.87,2.46,8.13,7.14,66.5
Antrim and Newtownabbey,Urban,N00000039,Crumlin_1,2796,3525,2494,1871,2363,1448,3820,862,0.09,0.17,985,41,74,1,23,2,49,87,78.05,3.25,5.86,0.08,1.82,0.16,3.88,6.89,N00000039,1227,-6.227155741337546,54.61740298696019,4.91,1.19,0.95,8.8,1.35,3.8,7.29,11.33,1.11,5.94,4.04,72.42
Antrim and Newtownabbey,Urban,N00000040,Crumlin_2,1905,4130,1287,1646,504,2178,4496,1322,0.06,0.27,182,25,17,0,5,0,18,18,68.68,9.43,6.42,0.0,1.89,0.0,6.79,6.79,N00000040,271,-6.215396800284439,54.61759853397145,3.77,0.75,3.02,12.83,2.26,6.79,9.43,9.43,0.75,4.53,5.28,68.68
Antrim and Newtownabbey,Urban,N00000041,Crumlin_2,3507,3066,2951,2756,3327,1592,4525,3217,0.1,0.15,411,10,8,1,3,0,11,18,88.96,2.16,1.73,0.22,0.65,0.0,2.38,3.9,N00000041,426,-6.206020381471398,54.617828278178536,3.03,0.65,1.3,6.49,1.52,3.46,7.14,5.84,0.65,3.03,4.11,78.14
Antrim and Newtownabbey,Urban,N00000042,Crumlin_2,3233,2495,3720,2256,2589,1556,3215,3143,0.12,0.11,312,27,29,0,11,0,20,11,76.1,6.59,7.07,0.0,2.68,0.0,4.88,2.68,N00000042,366,-6.2090550819497645,54.617468919172886,4.63,0.24,1.22,9.76,3.41,4.39,8.78,8.29,1.46,3.66,5.12,71.71
Antrim and Newtownabbey,Urban,N00000043,Crumlin_2,2959,3736,2195,1976,2483,1584,4302,1660,0.08,0.19,909,69,60,8,18,5,58,118,73.01,5.54,4.82,0.64,1.45,0.4,4.66,9.48,N00000043,1158,-6.235175527319732,54.62239876734663,2.97,1.37,1.69,8.67,3.21,6.35,6.27,7.87,1.04,3.94,5.22,70.68
Antrim and Newtownabbey,Urban,N00000044,Crumlin_2,854,256,2155,1776,975,2828,1245,236,0.23,0.19,208,26,26,1,2,1,24,24,66.67,8.33,8.33,0.32,0.64,0.32,7.69,7.69,N00000044,337,-6.2129681712604965,54.61755371424712,3.85,0.64,1.28,10.9,3.85,5.77,8.01,8.65,1.92,6.09,7.69,69.55
Antrim and Newtownabbey,Rural,N00000045,Drumanaway,3499,3328,3838,3703,3727,375,3205,3384,0.09,0.11,57,280,57,6,69,7,26,13,11.07,54.37,11.07,1.17,13.4,1.36,5.05,2.52,N00000045,519,-6.3744138920802325,54.763980715812274,4.08,0.19,1.17,6.6,1.75,2.52,7.18,5.83,0.58,6.21,4.27,73.98
Antrim and Newtownabbey,Rural,N00000046,Drumanaway,1312,165,3833,3950,3355,466,556,4192,0.24,0.11,29,228,29,0,50,4,40,14,7.36,57.87,7.36,0.0,12.69,1.02,10.15,3.55,N00000046,370,-6.348877866409977,54.78288858557442,4.57,0.51,0.25,9.14,0.76,4.57,7.11,6.85,1.02,3.55,4.57,74.11
Antrim and Newtownabbey,Mixed urban/rural,N00000047,Drumanaway,3561,3973,2693,3034,3458,1321,1912,4111,0.07,0.16,47,160,63,0,29,3,42,30,12.57,42.78,16.84,0.0,7.75,0.8,11.23,8.02,N00000047,351,-6.3256880843373455,54.77230180829842,6.15,3.21,5.88,15.51,6.95,4.01,8.82,8.82,2.67,9.89,3.48,63.37
Antrim and Newtownabbey,Urban,N00000048,Drumanaway,1721,1644,2025,1507,919,2195,2374,1661,0.15,0.2,46,122,76,1,14,0,37,8,15.13,40.13,25.0,0.33,4.61,0.0,12.17,2.63,N00000048,301,-6.3202911260525285,54.758535330948,4.61,1.32,1.32,11.84,2.63,9.21,11.51,8.88,1.97,8.88,5.26,63.49
Antrim and Newtownabbey,Urban,N00000049,Drumanaway,1399,2558,1199,1227,473,2236,4317,769,0.12,0.28,52,92,43,3,19,0,24,21,20.47,36.22,16.93,1.18,7.48,0.0,9.45,8.27,N00000049,305,-6.323709281155642,54.75739672992812,1.97,0.79,1.97,14.17,3.54,5.91,15.35,9.06,1.57,5.12,7.09,66.93
Antrim and Newtownabbey,Urban,N00000050,Drumanaway,3693,2836,3347,3200,3544,2522,1658,3820,0.11,0.13,52,160,32,0,20,2,20,13,17.39,53.51,10.7,0.0,6.69,0.67,6.69,4.35,N00000050,309,-6.325768374155811,54.75342723365336,5.69,1.67,1.34,13.04,1.34,6.69,11.71,6.69,1.34,7.36,6.35,66.22
Antrim and Newtownabbey,Urban,N00000051,Farranshane,549,1274,461,341,730,2095,3662,182,0.16,0.4,229,7,6,2,15,4,37,13,73.16,2.24,1.92,0.64,4.79,1.28,11.82,4.15,N00000051,354,-6.186171727631955,54.720422830137466,2.56,0.96,1.28,15.65,3.51,14.06,13.74,13.74,2.24,6.07,7.35,61.02
Antrim and Newtownabbey,Mixed urban/rural,N00000052,Farranshane,600,362,1179,1131,992,1203,2062,183,0.21,0.29,172,32,17,2,3,1,35,47,55.66,10.36,5.5,0.65,0.97,0.32,11.33,15.21,N00000052,437,-6.179194211209347,54.72442407579887,5.83,4.21,1.94,15.21,3.56,7.12,13.92,11.97,2.59,6.47,4.85,63.11
Antrim and Newtownabbey,Urban,N00000053,Farranshane,1016,1954,719,1073,725,1713,3827,298,0.13,0.35,134,38,9,2,11,4,36,27,51.34,14.56,3.45,0.77,4.21,1.53,13.79,10.34,N00000053,241,-6.183485820822162,54.71454271838319,2.68,1.53,1.15,14.18,3.83,6.13,11.11,13.03,3.83,8.43,5.75,67.05
Antrim and Newtownabbey,Urban,N00000054,Farranshane,1690,2996,1344,1078,1516,1341,3782,488,0.1,0.27,38,82,54,0,6,4,60,22,14.29,30.83,20.3,0.0,2.26,1.5,22.56,8.27,N00000054,261,-6.176907641285112,54.71173960696073,2.63,0.75,3.01,9.4,6.77,7.89,10.15,8.27,1.13,5.26,7.14,66.54
Antrim and Newtownabbey,Urban,N00000055,Farranshane,2029,2338,1578,1681,1537,1248,3735,2919,0.12,0.24,48,83,63,5,20,0,32,15,18.05,31.2,23.68,1.88,7.52,0.0,12.03,5.64,N00000055,260,-6.173038410024237,54.71461924525066,5.26,1.13,0.75,15.04,2.26,6.39,15.79,12.03,1.88,8.65,5.26,60.15
Antrim and Newtownabbey,Urban,N00000056,Farranshane,1881,2949,1804,1382,866,1474,3858,1063,0.11,0.22,59,111,43,1,11,0,47,11,20.85,39.22,15.19,0.35,3.89,0.0,16.61,3.89,N00000056,257,-6.1789593135547305,54.708895435700036,7.77,1.41,1.06,13.43,2.83,8.48,13.07,10.6,3.18,9.89,5.3,61.13
Antrim and Newtownabbey,Urban,N00000057,Fountain Hill,684,1127,688,438,552,2615,2469,785,0.16,0.35,41,59,61,2,13,1,60,42,14.7,21.15,21.86,0.72,4.66,0.36,21.51,15.05,N00000057,277,-6.20304781212444,54.71750276056868,6.09,1.79,1.43,12.54,3.23,7.53,13.26,10.39,3.23,5.73,3.94,63.44
Antrim and Newtownabbey,Urban,N00000058,Fountain Hill,898,407,1345,1305,978,2668,3415,614,0.21,0.27,49,79,69,12,6,3,35,13,18.42,29.7,25.94,4.51,2.26,1.13,13.16,4.89,N00000058,275,-6.202059164335598,54.716347076960695,4.51,0.38,1.13,10.9,3.38,7.14,10.53,8.65,1.13,5.64,4.14,69.55
Antrim and Newtownabbey,Urban,N00000059,Fountain Hill,878,1691,349,914,845,2698,3235,1467,0.14,0.43,37,74,25,1,10,1,47,31,16.37,32.74,11.06,0.44,4.42,0.44,20.8,13.72,N00000059,221,-6.204789691012296,54.71812154849105,5.31,0.88,3.1,9.73,3.1,6.19,12.83,9.29,2.65,4.87,8.41,66.81
Antrim and Newtownabbey,Urban,N00000060,Fountain Hill,1374,1619,1267,1239,881,2255,3494,852,0.15,0.27,81,113,90,4,14,6,37,49,20.56,28.68,22.84,1.02,3.55,1.52,9.39,12.44,N00000060,396,-6.207476398863375,54.715268346798936,4.82,1.02,1.52,13.96,1.52,7.36,13.2,11.68,1.52,9.39,5.08,64.47
Antrim and Newtownabbey,Urban,N00000061,Fountain Hill,2848,2034,2488,2991,2650,2529,2905,1420,0.13,0.17,46,106,43,2,11,7,32,26,16.85,38.83,15.75,0.73,4.03,2.56,11.72,9.52,N00000061,309,-6.202787168151706,54.71322232007054,8.42,1.83,0.73,15.38,0.73,3.66,16.48,8.06,1.47,5.13,3.66,63.74
Antrim and Newtownabbey,Urban,N00000062,Fountain Hill,4256,3903,3937,4155,3941,1947,2982,3554,0.07,0.1,72,108,47,19,30,4,54,17,20.51,30.77,13.39,5.41,8.55,1.14,15.38,4.84,N00000062,421,-6.199305628707344,54.70984639931332,7.69,1.42,1.71,7.98,3.7,2.28,7.41,6.55,1.99,6.84,3.42,72.08
Antrim and Newtownabbey,Urban,N00000063,Fountain Hill,2064,2526,1896,1682,1039,2216,3259,1181,0.12,0.21,61,130,75,7,34,4,81,39,14.15,30.16,17.4,1.62,7.89,0.93,18.79,9.05,N00000063,454,-6.208131185358021,54.71906944393293,8.82,2.55,9.05,22.97,2.55,9.05,10.67,10.67,11.37,9.74,3.94,53.83
Antrim and Newtownabbey,Urban,N00000064,Greystone,150,249,368,518,82,2742,2977,26,0.23,0.42,145,30,21,2,18,0,40,23,51.97,10.75,7.53,0.72,6.45,0.0,14.34,8.24,N00000064,277,-6.186999844475419,54.71334651077664,2.87,1.79,2.51,16.85,4.3,11.11,15.05,12.9,2.51,8.24,8.6,59.5
Antrim and Newtownabbey,Urban,N00000065,Greystone,3998,4477,3870,3097,2913,1507,4373,2413,0.03,0.1,112,132,45,15,24,9,40,12,28.79,33.93,11.57,3.86,6.17,2.31,10.28,3.08,N00000065,348,-6.192239119391118,54.71138532506753,6.43,1.8,1.29,9.51,2.06,3.86,8.74,6.43,1.03,9.0,7.46,65.81
Antrim and Newtownabbey,Urban,N00000066,Greystone,3777,3768,4056,2744,3694,1825,992,2507,0.08,0.09,100,75,23,11,5,6,30,14,37.88,28.41,8.71,4.17,1.89,2.27,11.36,5.3,N00000066,241,-6.195524658990273,54.71112882855377,9.85,1.52,1.14,10.98,1.14,2.65,13.26,10.61,1.14,6.44,8.33,59.47
Antrim and Newtownabbey,Urban,N00000067,Greystone,767,1888,506,473,884,2304,2556,273,0.14,0.39,131,44,25,9,21,0,65,21,41.46,13.92,7.91,2.85,6.65,0.0,20.57,6.65,N00000067,326,-6.184619055548038,54.71175655799552,5.38,1.58,1.9,16.46,3.16,9.49,14.87,10.44,1.58,8.86,3.8,60.13
Antrim and Newtownabbey,Urban,N00000068,Greystone,4051,4206,3583,3806,3770,1449,3024,2676,0.06,0.12,76,114,62,10,17,7,68,17,20.49,30.73,16.71,2.7,4.58,1.89,18.33,4.58,N00000068,340,-6.193112991137914,54.70778662066096,5.66,3.23,0.81,10.24,0.81,2.16,8.63,5.66,1.62,7.82,5.39,71.97
Antrim and Newtownabbey,Urban,N00000069,Greystone,79,187,195,90,448,1434,3258,8,0.24,0.48,148,42,48,7,10,1,49,29,44.31,12.57,14.37,2.1,2.99,0.3,14.67,8.68,N00000069,338,-6.187154003107965,54.71024020377979,5.09,3.29,4.79,15.87,8.38,11.38,13.47,9.88,1.8,6.89,6.89,57.19
Antrim and Newtownabbey,Urban,N00000070,Massereene_1,4056,4447,3435,3023,4150,3625,663,2807,0.04,0.13,96,73,29,5,16,0,12,12,39.51,30.04,11.93,2.06,6.58,0.0,4.94,4.94,N00000070,227,-6.224111956572644,54.72024805143942,9.47,2.47,0.0,16.46,0.41,4.53,13.99,5.76,2.06,8.23,7.0,62.55
Antrim and Newtownabbey,Urban,N00000071,Massereene_1,2895,4221,2576,1854,2156,3303,2963,136,0.06,0.17,115,59,35,6,4,1,41,22,40.64,20.85,12.37,2.12,1.41,0.35,14.49,7.77,N00000071,365,-6.216508748131435,54.716318031017245,7.77,2.47,1.77,15.19,2.47,15.19,12.01,7.07,9.19,10.6,5.65,56.54
Antrim and Newtownabbey,Urban,N00000072,Massereene_1,3659,3599,3359,2585,2587,2109,4491,2465,0.09,0.13,476,412,298,50,103,18,318,78,27.15,23.5,17.0,2.85,5.88,1.03,18.14,4.45,N00000072,1703,-6.20505062266787,54.70624803424219,3.42,0.8,0.97,6.67,1.37,4.62,6.73,7.24,0.97,4.85,4.22,75.81
Antrim and Newtownabbey,Urban,N00000073,Massereene_1,1797,2661,1892,1228,1224,2897,1381,258,0.11,0.21,145,131,63,9,20,10,84,59,27.83,25.14,12.09,1.73,3.84,1.92,16.12,11.32,N00000073,541,-6.215474844767088,54.713005541376,8.83,2.5,3.26,19.77,3.45,6.53,12.67,11.52,11.13,11.13,5.76,53.74
