LGD2014NAME,2015 Default Urban/Rural,SA2011,SOA2001_name,Multiple Deprivation Measure Rank,Income Domain Rank,Employment Domain Rank,Health Deprivation and Disability Domain Rank,"Education, Skills and Training Domain Rank",Access to Services Domain Rank,Living Environment Domain Rank,Crime and Disorder Domain Rank,Proportion of the population living in households whose equivalised income is below 60 per cent of the NI median,Proportion of the working age population who are employment deprived,Religion: Catholic,Religion: Presbyterian Church in Ireland,Religion: Church of Ireland,Religion: Methodist Church in Ireland,Religion: Other Christian (including Christian related),Religion: Other religions,Religion: No religion,Religion: Religion not stated,Religion: Catholic (%),Religion: Presbyterian Church in Ireland (%),Religion: Church of Ireland (%),Religion: Methodist Church in Ireland (%),Religion: Other Christian (including Christian related) (%),Religion: Other religions (%),Religion: No religion (%),Religion: Religion not stated (%),Area_Code,MYE,centre_x,centre_y,Type of long-term condition: Deafness or partial hearing loss (%),Type of long-term condition: Blindness or partial sight loss (%),Type of long-term condition: Communication difficulty (%),Type of long-term condition: A mobility or dexterity difficulty (%),"Type of long-term condition: A learning, intellectual, social or behavioural difficulty (%)","Type of long-term condition: An emotional, psychological or mental health condition (%)",Type of long-term condition: Long-term pain or discomfort (%),Type of long-term condition: Shortness of breath or difficulty breathing (%),Type of long-term condition: Frequent periods of confusion or memory loss (%),Type of long-term condition: A chronic illness (%),Type of long-term condition: Other condition (%),Type of long-term condition: No condition (%)
Belfast,Urban,N00000964,Belmont_2,4205,3965,3560,3342,4014,2249,4138,3770,0.07,0.12,11,74,69,36,45,5,42,15,3.7,24.92,23.23,12.12,15.15,1.68,14.14,5.05,N00000964,291,-5.861221865535639,54.61215391027504,6.06,0.67,2.69,11.78,2.02,3.03,10.77,9.43,1.68,10.1,7.07,65.99
Belfast,Urban,N00000965,Belmont_2,3979,4034,3734,3046,2449,2744,3888,2632,0.07,0.11,11,86,64,34,41,2,52,10,3.67,28.67,21.33,11.33,13.67,0.67,17.33,3.33,N00000965,284,-5.8656484511389095,54.60921306098373,6.0,2.33,3.67,12.67,3.33,5.67,11.67,8.67,3.67,9.33,6.0,66.33
Belfast,Urban,N00000966,Belmont_2,4534,4389,4485,4437,4273,3338,3366,4298,0.05,0.05,22,95,68,32,32,0,67,15,6.65,28.7,20.54,9.67,9.67,0.0,20.24,4.53,N00000966,303,-5.864211778780152,54.60561162296396,7.25,1.21,0.0,8.76,0.91,2.72,10.27,6.04,0.3,6.95,4.83,70.09
Belfast,Urban,N00000967,Belmont_2,3952,4089,3255,2758,4007,3017,1419,2831,0.07,0.13,44,117,57,28,34,7,78,13,11.64,30.95,15.08,7.41,8.99,1.85,20.63,3.44,N00000967,367,-5.8592726808371545,54.613601992863735,5.56,3.17,3.44,16.67,2.65,5.82,12.43,7.41,5.56,7.14,5.03,63.76
Belfast,Urban,N00000968,Belmont_3,3961,3473,3712,4115,3913,2584,3166,718,0.09,0.11,8,74,50,21,28,1,54,19,3.14,29.02,19.61,8.24,10.98,0.39,21.18,7.45,N00000968,283,-5.855314250163636,54.6191026957639,3.92,0.39,0.39,5.49,0.39,1.96,5.49,5.1,0.39,5.1,3.14,79.22
Belfast,Urban,N00000969,Belmont_3,2368,4510,2203,1440,1191,3081,710,561,0.03,0.19,17,53,54,8,12,4,29,16,8.81,27.46,27.98,4.15,6.22,2.07,15.03,8.29,N00000969,200,-5.859704256946013,54.61865029275195,5.7,3.63,1.04,17.1,2.07,8.81,16.06,14.51,2.07,7.77,7.25,62.18
Belfast,Urban,N00000970,Belmont_3,2203,2197,2135,1275,1262,2631,4210,2405,0.13,0.19,46,120,112,24,35,6,99,44,9.47,24.69,23.05,4.94,7.2,1.23,20.37,9.05,N00000970,425,-5.8514068217144235,54.618916577853824,5.76,2.88,2.26,13.79,3.09,8.64,14.81,11.32,2.06,9.05,4.73,66.46
Belfast,Urban,N00000971,Belmont_3,2000,3278,1926,1240,762,2553,3669,771,0.1,0.21,6,91,79,11,14,0,40,20,2.3,34.87,30.27,4.21,5.36,0.0,15.33,7.66,N00000971,289,-5.852132010769961,54.616907790787444,8.05,3.83,3.07,16.09,2.3,10.73,16.09,12.64,1.92,11.11,4.98,55.17
Belfast,Urban,N00000972,Belmont_3,881,2625,785,625,184,2440,2201,1246,0.11,0.34,9,88,97,23,30,2,51,17,2.84,27.76,30.6,7.26,9.46,0.63,16.09,5.36,N00000972,347,-5.852726491873311,54.61561549286195,5.36,1.26,2.84,15.14,3.15,9.46,15.46,15.14,2.21,10.41,5.36,61.51
Belfast,Urban,N00000973,Belmont_3,1255,366,2066,1666,1442,2931,2658,1922,0.21,0.2,32,81,64,21,39,2,60,32,9.67,24.47,19.34,6.34,11.78,0.6,18.13,9.67,N00000973,363,-5.858809343299375,54.615938918811445,3.93,1.81,1.81,6.65,4.23,6.04,8.46,9.37,0.3,4.53,6.34,68.88
